,killWeight,collectWeight,jumpWeight,timeWeight,winWeight,loseWeight,total_kill,hurts,coins,jumps,target,silhouette
0,-3,-3,-3,-3,-10,10,0.43283582089552236,0.16923076923076924,0.6545454545454545,0.31666666666666676,0,0.8325398393932655
1,-3,-3,-3,-1,-10,10,0.4477611940298507,0.0,0.6181818181818182,0.32500000000000007,0,0.8644788959245396
2,-3,-3,-3,0,-10,10,0.626865671641791,0.8307692307692308,0.8545454545454546,0.15000000000000002,4,0.741408337044427
3,-3,-3,-1,-3,-10,10,0.3134328358208955,0.0,0.7090909090909091,0.3666666666666666,0,0.8430751349556272
4,-3,-3,-1,-1,-10,10,0.46268656716417905,0.16923076923076924,0.7272727272727273,0.3583333333333333,0,0.8069265314449117
5,-3,-3,-1,0,-10,10,0.7462686567164178,0.5076923076923077,0.9090909090909092,0.2416666666666667,4,0.7987583317367811
6,-3,-3,0,-3,-10,10,0.43283582089552236,0.0,0.6545454545454545,0.29999999999999993,0,0.8705613268782239
7,-3,-3,0,-1,-10,10,0.43283582089552236,0.0,0.6545454545454545,0.29999999999999993,0,0.8705613268782239
8,-3,-3,0,0,-10,10,0.8805970149253731,0.16923076923076924,0.9090909090909092,0.275,4,0.6479778834950708
9,-3,-1,-3,-3,-10,10,0.47761194029850745,0.16923076923076924,0.6363636363636364,0.31666666666666676,0,0.8229058220137233
10,-3,-1,-3,-1,-10,10,0.46268656716417905,0.0,0.6181818181818182,0.32500000000000007,0,0.8582809833773744
11,-3,-1,-3,0,-10,10,0.6716417910447761,0.6,0.9818181818181819,0.2583333333333333,4,0.8167688999665904
12,-3,-1,-1,-3,-10,10,0.3134328358208955,0.0,0.7090909090909091,0.3666666666666666,0,0.8430751349556272
13,-3,-1,-1,-1,-10,10,0.46268656716417905,0.16923076923076924,0.7272727272727273,0.3583333333333333,0,0.8069265314449117
14,-3,-1,-1,0,-10,10,0.7611940298507461,0.8153846153846154,0.9818181818181819,0.2666666666666666,4,0.7575016261468829
15,-3,-1,0,-3,-10,10,0.43283582089552236,0.0,0.6545454545454545,0.29999999999999993,0,0.8705613268782239
16,-3,-1,0,-1,-10,10,0.43283582089552236,0.0,0.6545454545454545,0.29999999999999993,0,0.8705613268782239
17,-3,-1,0,0,-10,10,0.8358208955223879,0.3230769230769231,0.890909090909091,0.2583333333333333,4,0.7258022871448463
18,-3,0,-3,-3,-10,10,0.43283582089552236,0.16923076923076924,0.4727272727272728,0.2583333333333333,0,0.7860399547575934
19,-3,0,-3,-1,-10,10,0.38805970149253727,0.015384615384615385,0.38181818181818183,0.20833333333333337,0,0.7448008754732482
20,-3,0,-3,0,-10,10,0.7611940298507461,0.5076923076923077,0.38181818181818183,0.25,2,0.6277196424679881
21,-3,0,-1,-3,-10,10,0.3731343283582089,0.0,0.509090909090909,0.2583333333333333,0,0.8384012979261929
22,-3,0,-1,-1,-10,10,0.43283582089552236,0.16923076923076924,0.4727272727272728,0.2666666666666666,0,0.7873906670865336
23,-3,0,-1,0,-10,10,0.7611940298507461,0.5538461538461539,0.41818181818181815,0.10833333333333339,2,0.6285425549999777
24,-3,0,0,-3,-10,10,0.43283582089552236,0.015384615384615385,0.2363636363636364,0.15833333333333333,1,0.7261840206547661
25,-3,0,0,-1,-10,10,0.43283582089552236,0.015384615384615385,0.2363636363636364,0.15833333333333333,1,0.7261840206547661
26,-3,0,0,0,-10,10,0.9701492537313432,0.015384615384615385,0.3090909090909091,0.17499999999999993,1,0.5452017627004919
27,-3,1,-3,-3,-10,10,0.4477611940298507,0.16923076923076924,0.05454545454545454,0.45000000000000007,1,0.6999449984807807
28,-3,1,-3,-1,-10,10,0.3731343283582089,0.0,0.03636363636363637,0.16666666666666663,1,0.7491039395411349
29,-3,1,-3,0,-10,10,0.6417910447761194,0.46153846153846156,0.10909090909090909,0.025000000000000022,2,0.6874944945446612
30,-3,1,-1,-3,-10,10,0.40298507462686567,0.0,0.07272727272727274,0.9416666666666668,5,0.9121727951895169
31,-3,1,-1,-1,-10,10,0.49253731343283574,0.16923076923076924,0.05454545454545454,0.2833333333333333,1,0.7656338537223056
32,-3,1,-1,0,-10,10,0.7014925373134328,0.5076923076923077,0.10909090909090909,0.08333333333333337,2,0.6940669540090325
33,-3,1,0,-3,-10,10,0.43283582089552236,0.015384615384615385,0.018181818181818184,0.975,5,0.912663293062304
34,-3,1,0,-1,-10,10,0.43283582089552236,0.015384615384615385,0.018181818181818184,0.975,5,0.912663293062304
35,-3,1,0,0,-10,10,0.8805970149253731,0.03076923076923077,0.018181818181818184,0.08333333333333337,1,0.6316901870630506
36,-3,3,-3,-3,-10,10,0.47761194029850745,0.16923076923076924,0.05454545454545454,0.29166666666666663,1,0.7649649754837488
37,-3,3,-3,-1,-10,10,0.3731343283582089,0.0,0.03636363636363637,0.16666666666666663,1,0.7491039395411349
38,-3,3,-3,0,-10,10,0.7014925373134328,0.5230769230769231,0.09090909090909091,0.07500000000000007,2,0.6919576450498295
39,-3,3,-1,-3,-10,10,0.43283582089552236,0.0,0.03636363636363637,0.7583333333333334,5,0.8196763102160348
40,-3,3,-1,-1,-10,10,0.49253731343283574,0.16923076923076924,0.05454545454545454,0.2833333333333333,1,0.7656338537223056
41,-3,3,-1,0,-10,10,0.7462686567164178,0.46153846153846156,0.09090909090909091,0.06666666666666676,2,0.6573604024417659
42,-3,3,0,-3,-10,10,0.43283582089552236,0.015384615384615385,0.03636363636363637,0.4999999999999999,1,0.671596149726846
43,-3,3,0,-1,-10,10,0.43283582089552236,0.015384615384615385,0.018181818181818184,0.975,5,0.912663293062304
44,-3,3,0,0,-10,10,0.9253731343283581,0.0,0.018181818181818184,0.06666666666666676,1,0.606964728963046
45,-1,-3,-3,-3,-10,10,0.47761194029850745,0.16923076923076924,0.6363636363636364,0.31666666666666676,0,0.8229058220137233
46,-1,-3,-3,-1,-10,10,0.46268656716417905,0.0,0.6181818181818182,0.32500000000000007,0,0.8582809833773744
47,-1,-3,-3,0,-10,10,0.7313432835820896,0.6923076923076923,1.0,0.25,4,0.7930674581340607
48,-1,-3,-1,-3,-10,10,0.3432835820895522,0.0,0.6181818181818182,0.3583333333333333,0,0.8688743308998939
49,-1,-3,-1,-1,-10,10,0.49253731343283574,0.16923076923076924,0.6909090909090909,0.3416666666666667,0,0.8093522625894768
50,-1,-3,-1,0,-10,10,0.7462686567164178,0.5076923076923077,0.9636363636363636,0.2416666666666667,4,0.8021183431766422
51,-1,-3,0,-3,-10,10,0.43283582089552236,0.0,0.6545454545454545,0.29999999999999993,0,0.8705613268782239
52,-1,-3,0,-1,-10,10,0.43283582089552236,0.0,0.6545454545454545,0.29999999999999993,0,0.8705613268782239
53,-1,-3,0,0,-10,10,0.8805970149253731,0.3384615384615385,0.9272727272727272,0.30833333333333324,4,0.7239656797542792
54,-1,-1,-3,-3,-10,10,0.47761194029850745,0.16923076923076924,0.6363636363636364,0.31666666666666676,0,0.8229058220137233
55,-1,-1,-3,-1,-10,10,0.40298507462686567,0.0,0.6181818181818182,0.32500000000000007,0,0.8752518063731248
56,-1,-1,-3,0,-10,10,0.6716417910447761,0.5076923076923077,0.9454545454545455,0.25,4,0.8150672441874011
57,-1,-1,-1,-3,-10,10,0.3432835820895522,0.0,0.6181818181818182,0.3583333333333333,0,0.8688743308998939
58,-1,-1,-1,-1,-10,10,0.49253731343283574,0.16923076923076924,0.7090909090909091,0.3416666666666667,0,0.8051242572237062
59,-1,-1,-1,0,-10,10,0.6865671641791044,0.5076923076923077,0.9636363636363636,0.2333333333333334,4,0.8120143883422177
60,-1,-1,0,-3,-10,10,0.43283582089552236,0.0,0.6545454545454545,0.29999999999999993,0,0.8705613268782239
61,-1,-1,0,-1,-10,10,0.43283582089552236,0.0,0.6545454545454545,0.29999999999999993,0,0.8705613268782239
62,-1,-1,0,0,-10,10,0.9701492537313432,0.3384615384615385,0.9272727272727272,0.30833333333333324,4,0.6931384572976017
63,-1,0,-3,-3,-10,10,0.43283582089552236,0.16923076923076924,0.4727272727272728,0.2666666666666666,0,0.7873906670865336
64,-1,0,-3,-1,-10,10,0.38805970149253727,0.0,0.38181818181818183,0.18333333333333324,0,0.7347507935881914
65,-1,0,-3,0,-10,10,0.6865671641791044,0.5076923076923077,0.4727272727272728,0.125,2,0.6265833065217898
66,-1,0,-1,-3,-10,10,0.3432835820895522,0.0,0.509090909090909,0.2666666666666666,0,0.8389649045801278
67,-1,0,-1,-1,-10,10,0.43283582089552236,0.16923076923076924,0.4545454545454546,0.2583333333333333,0,0.7756522343535908
68,-1,0,-1,0,-10,10,0.7761194029850745,0.3384615384615385,0.34545454545454546,0.17499999999999993,2,0.5829514859647987
69,-1,0,0,-3,-10,10,0.43283582089552236,0.015384615384615385,0.2363636363636364,0.15833333333333333,1,0.7261840206547661
70,-1,0,0,-1,-10,10,0.43283582089552236,0.015384615384615385,0.2363636363636364,0.15833333333333333,1,0.7261840206547661
71,-1,0,0,0,-10,10,0.9999999999999999,0.15384615384615385,0.3090909090909091,0.17499999999999993,1,0.5304756904719182
72,-1,1,-3,-3,-10,10,0.46268656716417905,0.16923076923076924,0.05454545454545454,0.45833333333333337,1,0.6967799777064223
73,-1,1,-3,-1,-10,10,0.38805970149253727,0.0,0.03636363636363637,0.16666666666666663,1,0.7531575118315396
74,-1,1,-3,0,-10,10,0.6567164179104478,0.6153846153846154,0.09090909090909091,0.04166666666666663,2,0.6989396874610734
75,-1,1,-1,-3,-10,10,0.40298507462686567,0.0,0.07272727272727274,0.9416666666666668,5,0.9121727951895169
76,-1,1,-1,-1,-10,10,0.47761194029850745,0.16923076923076924,0.05454545454545454,0.29166666666666663,1,0.7649649754837488
77,-1,1,-1,0,-10,10,0.7313432835820896,0.3076923076923077,0.10909090909090909,0.15833333333333333,1,0.6255359770079975
78,-1,1,0,-3,-10,10,0.43283582089552236,0.015384615384615385,0.018181818181818184,0.975,5,0.912663293062304
79,-1,1,0,-1,-10,10,0.43283582089552236,0.015384615384615385,0.018181818181818184,0.975,5,0.912663293062304
80,-1,1,0,0,-10,10,0.8059701492537313,0.2,0.018181818181818184,0.09999999999999998,1,0.6338854928970173
81,-1,3,-3,-3,-10,10,0.46268656716417905,0.16923076923076924,0.03636363636363637,0.2583333333333333,1,0.7621744073360306
82,-1,3,-3,-1,-10,10,0.3731343283582089,0.015384615384615385,0.0,0.20000000000000007,1,0.7498411346762266
83,-1,3,-3,0,-10,10,0.7164179104477612,0.6153846153846154,0.07272727272727274,0.06666666666666676,2,0.680075418154353
84,-1,3,-1,-3,-10,10,0.40298507462686567,0.0,0.05454545454545454,0.9416666666666668,5,0.9168114719660183
85,-1,3,-1,-1,-10,10,0.43283582089552236,0.16923076923076924,0.018181818181818184,0.29999999999999993,1,0.7496741101172186
86,-1,3,-1,0,-10,10,0.7313432835820896,0.35384615384615387,0.10909090909090909,0.06666666666666676,2,0.6208843091461431
87,-1,3,0,-3,-10,10,0.43283582089552236,0.015384615384615385,0.03636363636363637,0.8833333333333334,5,0.8980639835816417
88,-1,3,0,-1,-10,10,0.43283582089552236,0.015384615384615385,0.03636363636363637,0.8833333333333334,5,0.8980639835816417
89,-1,3,0,0,-10,10,0.8955223880597014,0.015384615384615385,0.0,0.09166666666666667,1,0.6245764396935651
90,0,-3,-3,-3,-10,10,0.3283582089552239,0.0,0.5818181818181819,0.29166666666666663,0,0.866587838239214
91,0,-3,-3,-1,-10,10,0.3134328358208955,0.0,0.6363636363636364,0.3583333333333333,0,0.8618392213311072
92,0,-3,-3,0,-10,10,0.5820895522388059,0.5384615384615385,0.9272727272727272,0.2666666666666666,4,0.8183597734104138
