killWeight,collectWeight,jumpWeight,timeWeight,winWeight,loseWeight,completion,remaining_time,mariostate,total_kill,stomp_kill,fire_kill,shell_kill,hurts,question_blocks,bump_bricks,destroyed_bricks,coins,tile_coins,mushrooms,fireflowers,jumps
-3.0,-3.0,-3.0,-3.0,-10.0,10.0,1.0,36.8,0.8,5.8,4.8,0.0,0.6,2.2,1.6,2.8,2.8,7.2,0.0,0.0,0.0,23.6
-3.0,-3.0,-3.0,-1.0,-10.0,10.0,1.0,36.6,1.0,6.0,5.2,0.0,0.4,0.0,1.8,2.4,2.4,6.8,0.0,0.0,0.0,23.8
-3.0,-3.0,-3.0,0.0,-10.0,10.0,0.93764955,37.6,0.0,8.4,7.8,0.0,0.4,10.8,3.0,0.0,0.0,9.4,0.0,0.0,0.0,19.6
-3.0,-3.0,-1.0,-3.0,-10.0,10.0,1.0,36.6,1.0,4.2,3.8,0.0,0.0,0.0,2.0,2.4,2.4,7.8,0.0,0.0,0.0,24.8
-3.0,-3.0,-1.0,-1.0,-10.0,10.0,1.0,36.4,0.8,6.2,4.8,0.0,1.0,2.2,2.2,2.2,2.2,8.0,0.0,0.0,0.0,24.6
-3.0,-3.0,-1.0,0.0,-10.0,10.0,1.0,36.6,0.4,10.0,8.0,0.0,1.6,6.6,2.6,0.4,0.4,10.0,0.0,0.0,0.0,21.8
-3.0,-3.0,0.0,-3.0,-10.0,10.0,1.0,37.6,1.0,5.8,5.6,0.0,0.0,0.0,2.6,2.4,2.4,7.2,0.0,0.0,0.0,23.2
-3.0,-3.0,0.0,-1.0,-10.0,10.0,1.0,37.6,1.0,5.8,5.6,0.0,0.0,0.0,2.6,2.4,2.4,7.2,0.0,0.0,0.0,23.2
-3.0,-3.0,0.0,0.0,-10.0,10.0,0.900507,37.2,0.8,11.8,10.4,0.0,1.2,2.2,4.8,1.8,1.8,10.0,0.0,0.0,0.0,22.6
-3.0,-1.0,-3.0,-3.0,-10.0,10.0,1.0,36.8,0.8,6.4,5.0,0.0,1.0,2.2,2.2,2.2,2.2,7.0,0.0,0.0,0.0,23.6
-3.0,-1.0,-3.0,-1.0,-10.0,10.0,1.0,36.6,1.0,6.2,5.4,0.0,0.4,0.0,1.8,2.4,2.4,6.8,0.0,0.0,0.0,23.8
-3.0,-1.0,-3.0,0.0,-10.0,10.0,1.0,36.2,0.4,9.0,8.6,0.0,0.0,7.8,3.2,0.2,0.2,10.8,0.0,0.0,0.0,22.2
-3.0,-1.0,-1.0,-3.0,-10.0,10.0,1.0,36.6,1.0,4.2,3.8,0.0,0.0,0.0,2.0,2.4,2.4,7.8,0.0,0.0,0.0,24.8
-3.0,-1.0,-1.0,-1.0,-10.0,10.0,1.0,36.4,0.8,6.2,4.8,0.0,1.0,2.2,2.2,2.2,2.2,8.0,0.0,0.0,0.0,24.6
-3.0,-1.0,-1.0,0.0,-10.0,10.0,1.0,36.6,0.0,10.2,8.2,0.0,1.6,10.6,3.2,0.4,0.4,10.8,0.0,0.0,0.0,22.4
-3.0,-1.0,0.0,-3.0,-10.0,10.0,1.0,37.6,1.0,5.8,5.6,0.0,0.0,0.0,2.6,2.4,2.4,7.2,0.0,0.0,0.0,23.2
-3.0,-1.0,0.0,-1.0,-10.0,10.0,1.0,37.6,1.0,5.8,5.6,0.0,0.0,0.0,2.6,2.4,2.4,7.2,0.0,0.0,0.0,23.2
-3.0,-1.0,0.0,0.0,-10.0,10.0,0.900507,37.2,0.6,11.2,9.8,0.0,1.2,4.2,5.0,0.4,0.4,9.8,0.0,0.0,0.0,22.2
-3.0,0.0,-3.0,-3.0,-10.0,10.0,1.0,37.6,0.8,5.8,5.0,0.0,0.6,2.2,1.8,2.2,2.2,5.2,0.0,0.0,0.0,22.2
-3.0,0.0,-3.0,-1.0,-10.0,10.0,0.8581163,38.4,1.0,5.2,4.8,0.0,0.4,0.2,2.0,2.2,2.2,4.2,0.0,0.0,0.0,21.0
-3.0,0.0,-3.0,0.0,-10.0,10.0,1.0,37.0,0.4,10.2,8.0,0.0,1.8,6.6,1.4,0.6,0.6,4.2,0.0,0.0,0.0,22.0
-3.0,0.0,-1.0,-3.0,-10.0,10.0,1.0,37.8,1.0,5.0,4.8,0.0,0.0,0.0,1.8,2.4,2.4,5.6,0.0,0.0,0.0,22.2
-3.0,0.0,-1.0,-1.0,-10.0,10.0,1.0,37.6,0.8,5.8,5.0,0.0,0.6,2.2,1.8,2.2,2.2,5.2,0.0,0.0,0.0,22.4
-3.0,0.0,-1.0,0.0,-10.0,10.0,1.0,37.6,0.4,10.2,8.0,0.0,1.8,7.2,1.0,1.8,1.8,4.6,0.0,0.0,0.0,18.6
-3.0,0.0,0.0,-3.0,-10.0,10.0,1.0,38.2,1.0,5.8,5.6,0.0,0.0,0.2,0.6,2.2,2.2,2.6,0.0,0.0,0.0,19.8
-3.0,0.0,0.0,-1.0,-10.0,10.0,1.0,38.2,1.0,5.8,5.6,0.0,0.0,0.2,0.6,2.2,2.2,2.6,0.0,0.0,0.0,19.8
-3.0,0.0,0.0,0.0,-10.0,10.0,1.0,37.0,1.0,13.0,11.2,0.0,1.4,0.2,1.4,2.0,2.0,3.4,0.0,0.0,0.0,20.2
-3.0,1.0,-3.0,-3.0,-10.0,10.0,0.9647085,35.0,0.8,6.0,5.0,0.0,0.6,2.2,1.0,3.0,3.0,0.6,0.0,0.0,0.0,26.8
