killWeight,collectWeight,jumpWeight,timeWeight,winWeight,loseWeight,level,completion,total_kill,kill,coins,lives,remaining_time,mariostate,mushrooms,fireflowers,stomp_kill,fire_kill,shell_kill,bricks,jumps
-1.0,-1.0,-3.0,-1.0,-10.0,10.0,1,1.0,4.0,4.0,9.0,0.0,37.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,27.0
-1.0,-1.0,-3.0,-1.0,-10.0,10.0,3,1.0,4.0,3.0,10.0,0.0,41.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,16.0
-1.0,-1.0,-3.0,-1.0,-10.0,10.0,5,1.0,12.0,12.0,2.0,0.0,34.0,1.0,0.0,0.0,12.0,0.0,0.0,9.0,26.0
-1.0,-1.0,-3.0,-1.0,-10.0,10.0,7,1.0,1.0,0.0,13.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
-1.0,-1.0,-3.0,-1.0,-10.0,10.0,9,1.0,6.0,6.0,0.0,0.0,38.0,1.0,0.0,0.0,4.0,0.0,2.0,1.0,20.0

-1.0,-1.0,-1.0,-1.0,-10.0,10.0,1,1.0,4.0,4.0,9.0,0.0,36.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,27.0
-1.0,-1.0,-1.0,-1.0,-10.0,10.0,3,1.0,4.0,3.0,10.0,0.0,41.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,17.0
-1.0,-1.0,-1.0,-1.0,-10.0,10.0,5,1.0,13.0,13.0,3.0,0.0,35.0,1.0,0.0,0.0,11.0,0.0,2.0,8.0,24.0
-1.0,-1.0,-1.0,-1.0,-10.0,10.0,7,1.0,1.0,0.0,13.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
-1.0,-1.0,-1.0,-1.0,-10.0,10.0,9,1.0,10.0,10.0,0.0,0.0,37.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,20.0

-1.0,-1.0,0.0,-1.0,-10.0,10.0,1,1.0,5.0,5.0,11.0,0.0,38.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,26.0
-1.0,-1.0,0.0,-1.0,-10.0,10.0,3,1.0,2.0,1.0,12.0,0.0,41.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,20.0
-1.0,-1.0,0.0,-1.0,-10.0,10.0,5,1.0,14.0,14.0,3.0,0.0,35.0,1.0,0.0,0.0,14.0,0.0,0.0,9.0,22.0
-1.0,-1.0,0.0,-1.0,-10.0,10.0,7,1.0,0.0,0.0,10.0,0.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0
-1.0,-1.0,0.0,-1.0,-10.0,10.0,9,1.0,8.0,8.0,0.0,0.0,37.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,21.0
